Element# βxx' βyy' βzz' 
3.0400000e+02 2.4058389e+00 1.4669791e+00 4.0935711e+02 
3.0500000e+02 2.4058389e+00 1.4669791e+00 4.0935711e+02 
3.0600000e+02 2.3943341e+00 1.4721323e+00 4.1680256e+02 
3.0700000e+02 2.3943341e+00 1.4721323e+00 4.1680256e+02 
3.0800000e+02 2.3943341e+00 1.4721323e+00 4.1680256e+02 
3.0900000e+02 2.3817091e+00 1.4773472e+00 4.2422853e+02 
3.1000000e+02 2.3817091e+00 1.4773472e+00 4.2422853e+02 
3.1100000e+02 2.3817091e+00 1.4773472e+00 4.2422853e+02 
3.1200000e+02 2.3679751e+00 1.4826259e+00 4.3163345e+02 
3.1300000e+02 2.3679751e+00 1.4826259e+00 4.3163345e+02 
3.1400000e+02 2.3679751e+00 1.4826259e+00 4.3163345e+02 
3.1500000e+02 2.3531488e+00 1.4879665e+00 4.3901529e+02 
3.1600000e+02 2.3531488e+00 1.4879665e+00 4.3901529e+02 
3.1700000e+02 2.3531488e+00 1.4879665e+00 4.3901529e+02 
3.1800000e+02 2.3372440e+00 1.4933710e+00 4.4637240e+02 
3.1900000e+02 2.3372440e+00 1.4933710e+00 4.4637240e+02 
3.2000000e+02 2.3372440e+00 1.4933710e+00 4.4637240e+02 
3.2100000e+02 2.3202751e+00 1.4988374e+00 4.5370306e+02 
3.2200000e+02 2.3202751e+00 1.4988374e+00 4.5370306e+02 
3.2300000e+02 2.3202751e+00 1.4988374e+00 4.5370306e+02 
3.2400000e+02 2.3022598e+00 1.5043670e+00 4.6100527e+02 
3.2500000e+02 2.3022598e+00 1.5043670e+00 4.6100527e+02 
3.2600000e+02 2.3022598e+00 1.5043670e+00 4.6100527e+02 
3.2700000e+02 2.2832157e+00 1.5099590e+00 4.6827742e+02 
3.2800000e+02 2.2832157e+00 1.5099590e+00 4.6827742e+02 
3.2900000e+02 2.2832157e+00 1.5099590e+00 4.6827742e+02 
3.3000000e+02 2.2631618e+00 1.5156143e+00 4.7551775e+02 
3.3100000e+02 2.2631618e+00 1.5156143e+00 4.7551775e+02 
3.3200000e+02 2.2631618e+00 1.5156143e+00 4.7551775e+02 
3.3300000e+02 2.2421163e+00 1.5213317e+00 4.8272435e+02 
3.3400000e+02 2.2421163e+00 1.5213317e+00 4.8272435e+02 
3.3500000e+02 2.2421163e+00 1.5213317e+00 4.8272435e+02 
3.3600000e+02 2.2201016e+00 1.5271119e+00 4.8989557e+02 
3.3700000e+02 2.2201016e+00 1.5271119e+00 4.8989557e+02 
3.3800000e+02 2.2201016e+00 1.5271119e+00 4.8989557e+02 
3.3900000e+02 2.1971380e+00 1.5329559e+00 4.9702988e+02 
3.4000000e+02 2.1971380e+00 1.5329559e+00 4.9702988e+02 
3.4100000e+02 2.1971380e+00 1.5329559e+00 4.9702988e+02 
3.4200000e+02 2.1732503e+00 1.5388613e+00 5.0412513e+02 
3.4300000e+02 2.1732503e+00 1.5388613e+00 5.0412513e+02 
3.4400000e+02 2.1732503e+00 1.5388613e+00 5.0412513e+02 
3.4500000e+02 2.1484613e+00 1.5448310e+00 5.1117991e+02 
3.4600000e+02 2.1484613e+00 1.5448310e+00 5.1117991e+02 
3.4700000e+02 2.1484613e+00 1.5448310e+00 5.1117991e+02 
3.4800000e+02 2.1227949e+00 1.5508619e+00 5.1819245e+02 
3.4900000e+02 2.1227949e+00 1.5508619e+00 5.1819245e+02 
3.5000000e+02 2.1227949e+00 1.5508619e+00 5.1819245e+02 
3.5100000e+02 2.0962771e+00 1.5569562e+00 5.2516102e+02 
3.5200000e+02 2.0962771e+00 1.5569562e+00 5.2516102e+02 
