#ele Pos(m) X_aper(m) Y_aper(m) x(m) xp(rad) y(m) yp(rad) p(rad) W(MeV)
422 1.22 0.0118 0.05 0.0160027 0.0168755 -0.00350138 0.00707799 -36.0864 0.182628
422 1.22 0.0118 0.05 -0.0164681 -0.020863 0.00859284 -0.000721255 61.9736 0.182634
422 1.22 0.0118 0.05 -0.0161713 -0.0162019 0.00245117 -0.00780248 34.0573 0.182626
422 1.22 0.0118 0.05 0.0123507 0.0130143 -0.00413077 0.0047533 -28.0274 0.182634
422 1.22 0.0118 0.05 -0.0139512 -0.0171628 0.00551698 -0.00209318 49.0011 0.182628
422 1.22 0.0118 0.05 -0.0151053 -0.0176823 0.0046231 -0.00412718 47.2327 0.182643
422 1.22 0.0118 0.05 -0.0158062 -0.0187131 0.00539831 -0.00342185 51.4243 0.182626
422 1.22 0.0118 0.05 -0.0156879 -0.0156403 0.00176981 -0.00824087 32.3592 0.182629
422 1.22 0.0118 0.05 0.0146254 0.0143467 -0.000868943 0.00881132 -26.5317 0.182627
422 1.22 0.0118 0.05 -0.0118429 -0.00946191 0.000669472 -0.00765776 10.0607 0.182628
422 1.22 0.0118 0.05 0.0132354 0.0130589 -0.000387501 0.00849661 -24.6689 0.182646
422 1.22 0.0118 0.05 -0.0122819 -0.00881272 -0.00289008 -0.0117317 3.92325 0.182636
422 1.22 0.0118 0.05 -0.0157884 -0.0199517 0.00852147 -0.00054488 58.9749 0.182626
422 1.22 0.0118 0.05 -0.0158446 -0.017616 0.00459671 -0.00493062 44.4365 0.182623
422 1.22 0.0118 0.05 -0.0159238 -0.0211975 0.00962424 0.00157134 66.5905 0.182623
422 1.22 0.0118 0.05 -0.0162142 -0.0165152 0.00228481 -0.00789857 35.5552 0.182642
422 1.22 0.0118 0.05 -0.0117805 -0.0130374 0.00564364 -0.00304998 32.4991 0.182625
422 1.22 0.0118 0.05 0.0148555 0.0146385 -0.00226631 0.00773269 -27.4815 0.182629
422 1.22 0.0118 0.05 0.0152442 0.0181373 -0.0058925 0.00381374 -47.1294 0.182626
422 1.22 0.0118 0.05 -0.0139576 -0.0114387 -0.00221411 -0.0119564 13.5964 0.182626
422 1.22 0.0118 0.05 0.012908 0.0169718 -0.00779902 0.000348268 -49.8111 0.182642
422 1.22 0.0118 0.05 -0.013351 -0.0144843 0.00490662 -0.00465928 34.8521 0.18263
422 1.22 0.0118 0.05 -0.0144385 -0.0128614 0.000378994 -0.00938147 19.8531 0.182646
422 1.22 0.0118 0.05 -0.0149881 -0.0151354 0.0023327 -0.00722344 32.0619 0.182627
422 1.22 0.0118 0.05 0.0127635 0.0152012 -0.00629594 0.00245661 -39.5903 0.182624
422 1.22 0.0118 0.05 -0.0155556 -0.0176623 0.00539231 -0.00380588 45.5044 0.182625
422 1.22 0.0118 0.05 -0.0179492 -0.0190957 0.00351791 -0.00736323 44.639 0.182625
422 1.22 0.0118 0.05 -0.01184 -0.013289 0.00579463 -0.00277931 33.5963 0.182625
422 1.22 0.0118 0.05 0.0118177 0.0131693 -0.00542806 0.00338128 -31.52 0.182649
422 1.22 0.0118 0.05 -0.0147799 -0.0182345 0.00617191 -0.00191564 52.5082 0.182628
422 1.22 0.0118 0.05 -0.0145474 -0.0191067 0.00920281 0.00103037 59.2228 0.182623
