# X[mm] xp[rad] Y[mm] yp[rad]
4.5526594653e+00 -5.8582290103e+01 -4.7495667264e+00 9.4456129881e+01
-2.5152027375e+00 4.6706543143e+01 1.4036013863e+00 -4.1481804892e+01
2.3961357205e+00 -2.5149381104e+01 -1.1514898492e+00 1.4728809904e+01
1.4783324651e+00 -3.9834051596e+01 -6.1413781334e-01 2.8917802218e+01
-2.0104919544e+00 2.0950987759e+01 4.2009212472e-01 -9.6211720088e+00
-2.7172842994e+00 9.8502337773e+01 2.3547609470e+00 -8.5631880947e+01
-5.4634877074e-01 -1.3680703980e+01 1.1031059689e+00 -2.4578301805e+01
3.7117465527e+00 -4.8607389316e+01 -1.3395418193e+00 2.1860839973e+01
-3.5177753349e-01 1.6635503471e+01 -6.6081255209e-01 9.6117339458e+00
-1.5409618661e+00 -5.3632020058e+00 1.0331202929e+00 -2.5086271954e+01
4.9870660303e-01 -1.6764147623e+00 -4.1962041513e+00 5.3590671336e+01
1.0451873401e+00 -2.7098176330e+01 9.7159902757e-01 -1.0974352866e+01
-8.8872445583e-01 3.3398481757e+01 6.6557889061e-01 -1.5641926267e+01
-1.4416228634e+00 1.1673233772e+01 1.6717713751e+00 -4.5918682196e+01
3.5225217195e+00 -4.0851076266e+01 -1.5898460869e+00 2.8560539672e+01
-8.9722491694e-01 -1.0158545616e+01 1.7185451611e-01 3.2040333099e+00
2.4027685881e+00 -1.3290659704e+01 -2.1183589251e+00 2.9765882294e+01
-2.9137211627e-01 -3.1796970476e+01 6.5771383301e-01 -1.0928696754e+01
-2.7520453967e+00 8.3193405109e+01 1.8957395616e+00 -9.2346297115e+01
-1.9216973023e+00 3.1779715397e+01 -8.9330924985e-01 5.8961002442e+00
-2.5311548474e+00 3.9792782950e+01 6.6023008504e-01 -1.8281492576e+01
3.6512808023e+00 -5.9633240838e+01 -9.4719308024e-01 1.4669249596e+01
-2.7479916037e+00 9.6230585300e+01 2.3244651179e+00 -7.6418675521e+01
1.3302774079e+00 -3.0697023808e+01 4.3771525402e-01 2.4030248360e+00
-3.0625132034e+00 6.0723148256e+01 1.2826834110e+00 -3.7266536688e+01
2.2311506602e+00 -5.8749440848e+01 -1.6257676725e+00 4.2140997460e+01
-2.7618139059e+00 7.1323693649e+01 1.6948090275e+00 -8.5665215958e+01
4.1095795908e+00 -6.4955541590e+01 -3.1194206501e+00 7.3348883516e+01
-2.4785935637e+00 2.2090398370e+01 1.4441469876e+00 -5.1009025008e+01
6.3538889774e-01 1.4183756924e+01 -2.7581327749e+00 3.8517507509e+01
-2.6186133161e+00 1.0262641942e+02 2.1880912439e+00 -8.6954933980e+01
1.9387930590e+00 -7.3892868485e+01 -1.8269784374e+00 7.0024978081e+01
