# x[mm] y[mm]
-7.6831669024e+00 7.6079129078e+00
1.5464686973e+00 -1.0155915274e+00
-8.9266389204e+00 2.3981664580e+00
-8.8396690407e-01 1.1020853808e+01
1.8753728346e+00 -1.0924985085e+01
-8.8432691814e+00 -2.4226513785e+00
1.0218358750e+01 -5.4147975259e+00
-5.7574929915e+00 -3.8373240084e+00
7.9408643917e+00 -7.9550174271e+00
7.2919717357e+00 5.9672910496e+00
7.5860863279e-01 -6.2336497541e+00
-4.5482456665e+00 1.1792789519e+01
9.1485338966e+00 5.4010549597e+00
-8.7376645169e+00 1.0844692145e+01
9.0572760683e+00 -3.9180052565e+00
-3.9433154123e+00 -9.6113077794e+00
-7.0606432361e+00 -1.8613313130e+00
4.1925823168e+00 1.0094601595e+00
9.1280427576e+00 -7.9954764374e+00
2.0286387746e+00 -2.7592103450e+00
1.2417843156e+00 5.8164130104e+00
-1.0315126769e+01 3.4504639655e+00
-2.5196994927e+00 1.2765213064e+00
-6.5161277837e+00 8.9416577610e+00
5.2352602224e+00 6.0843553300e+00
-9.9916971959e+00 1.0856439162e+01
-2.0736257638e+00 1.1732930461e+01
5.9691278190e+00 -8.9231957617e+00
-6.0612161345e+00 5.6036068382e+00
4.3342638016e+00 -1.1988681332e+00
2.9960304369e+00 -1.1913020568e+01
7.0130923363e+00 1.3229148881e+00
9.6021161238e+00 1.4160586874e+00
-1.2409327104e+00 -3.0752569725e-01
6.8885253720e+00 5.1262373923e+00
-7.8085279272e-01 -7.9405715615e+00
7.2780454215e+00 -1.0074405420e+01
-1.0089296251e+01 -7.1099985399e-01
-7.4282447397e+00 1.0973280946e+01
3.1081202571e+00 2.7843332841e-01
1.0534588363e+01 -1.0805911090e+01
7.0174653363e+00 7.1605246364e+00
-9.3381281550e+00 -4.4496307244e+00
-5.7275100685e+00 1.2417535888e+01
1.9192111558e+00 -2.7975721460e+00
-4.8395127936e-01 8.4930070481e-01
9.4091042374e+00 1.9955314788e+00
1.0286037169e+01 -9.8943499034e+00
3.0069805794e+00 1.6354014623e-01
-9.9525149632e+00 7.1267498252e+00
2.2330000995e+00 5.1912769667e-01
1.1311819177e+01 -1.0390311142e+01
8.3701987385e-01 -8.6695965016e+00
-1.1023025773e+01 1.1510226908e+01
5.3070139967e+00 8.6138136051e+00
-8.5381062757e+00 -6.5132079349e+00
9.4575593509e+00 -4.3984643473e+00
-9.2719245626e-01 1.1888308440e+00
-1.0873340706e+01 -1.9471394402e+00
5.3389498150e+00 4.6348568787e+00
8.5900802091e+00 -1.2294983266e+01
7.9067490511e+00 5.3386139589e+00
6.0299723484e+00 -9.8792354014e+00
1.0463259856e+01 2.5779862757e+00
8.0911020321e+00 -5.2750218854e-01
1.1289688083e+01 -2.5844048365e+00
6.8802811299e+00 -1.0356821419e+01
-3.8934141117e+00 3.0032463441e+00
9.6582693799e-01 1.0762232108e+01
3.6536912360e+00 -1.1376440839e+01
-1.6193913454e+00 2.2144327677e+00
4.4971522259e+00 5.5442558582e+00
4.5066394900e+00 -5.9660093378e+00
1.6828686391e+00 -3.4085530303e+00
2.6127329010e-01 -1.0337642849e+01
-6.2121330671e+00 3.1088929708e-01
1.1420602499e-01 -7.2837799068e-03
6.1248652954e+00 -1.0107597752e+01
6.6525174963e-01 8.3123049597e-01
3.4324821042e+00 -5.4306178176e-01
-1.1308768526e+01 8.0012491992e+00
-5.7582771212e+00 -9.0944815130e+00
9.3695095070e+00 3.6393533646e+00
6.3422877528e+00 -9.0291031179e-01
-4.2757556782e+00 -2.4236948649e+00
-7.5428597964e+00 1.0833869393e+01
4.5088371975e+00 -4.6774933674e+00
-3.2201335141e+00 3.8233598195e+00
2.7668597473e+00 -2.4025740187e-02
-3.0664920843e+00 -9.5563683660e+00
-7.6823533344e+00 7.6580095386e+00
7.7942100708e+00 4.6975322421e+00
1.0405577496e+00 -9.6207586181e+00
3.9861073346e+00 -1.2674174873e+00
-3.9714179197e+00 2.5128987696e+00
-5.5748270934e+00 -2.2669408434e+00
-1.6932995961e+00 3.2141201537e+00
-3.3114670514e+00 5.3681659040e+00
-8.9196602487e+00 -7.7899166644e+00
