# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] 
9.2722891566e-02 5.1889624154e+00 6.4078482044e+00 1.4857000000e+04 6.3888677055e+01 1.0058909340e+00 1.5366504256e+00 6.2390494595e+03 1.1803694455e+00 9.8251669865e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
9.3975903614e-02 5.1813379792e+00 6.4027166186e+00 1.4857000000e+04 6.3888677055e+01 1.0029367620e+00 1.5341902513e+00 6.3233609387e+03 1.1773883368e+00 9.8091398947e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
9.5228915663e-02 5.1737216299e+00 6.3975893043e+00 1.4857000000e+04 6.3888677055e+01 9.9999006073e-01 1.5317340932e+00 6.4076724179e+03 1.1744072282e+00 9.7931128028e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
9.6481927711e-02 5.1661134034e+00 6.3924662718e+00 1.4857000000e+04 6.3888677055e+01 9.9705083012e-01 1.5292819510e+00 6.4919838971e+03 1.1714261196e+00 9.7770857109e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
9.7734939759e-02 5.1585133356e+00 6.3873475316e+00 1.4857000000e+04 6.3888677055e+01 9.9411907018e-01 1.5268338249e+00 6.5762953763e+03 1.1684450109e+00 9.7610586191e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
9.8987951807e-02 5.1509214626e+00 6.3822330938e+00 1.4857000000e+04 6.3888677055e+01 9.9119478092e-01 1.5243897149e+00 6.6606068554e+03 1.1654639023e+00 9.7450315272e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.0024096386e-01 5.1433378207e+00 6.3771229689e+00 1.4857000000e+04 6.3888677055e+01 9.8827796233e-01 1.5219496208e+00 6.7449183346e+03 1.1624827937e+00 9.7290044354e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.0149397590e-01 5.1357624464e+00 6.3720171672e+00 1.4857000000e+04 6.3888677055e+01 9.8536861443e-01 1.5195135428e+00 6.8292298138e+03 1.1595016851e+00 9.7129773435e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.0274698795e-01 5.1281953763e+00 6.3669156991e+00 1.4857000000e+04 6.3888677055e+01 9.8246673720e-01 1.5170814809e+00 6.9135412930e+03 1.1565205764e+00 9.6969502516e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.0400000000e-01 5.1206366472e+00 6.3618185751e+00 1.4857000000e+04 6.3888677055e+01 9.7957233064e-01 1.5146534350e+00 6.9978527722e+03 1.1535394678e+00 9.6809231598e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
